"country","variable","measure","Unit","Date","Value"
"Caribbean","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",11.2
"Caribbean","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",11.3
"Caribbean","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",11.4
"Caribbean","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",1857.4
"Caribbean","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",1908.9
"Caribbean","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",1962.8
"Caribbean","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",4.3
"Caribbean","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",4.3
"Caribbean","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",4.4
"Caribbean","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",14.783
"Caribbean","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",15.299
"Caribbean","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",16.281
"Caribbean","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",3.6
"Caribbean","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",3.6
"Caribbean","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",3.6
"Caribbean","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",596
"Caribbean","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",606.5
"Caribbean","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",624
"Caribbean","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",17.1
"Caribbean","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",17.5
"Caribbean","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",17.9
"Caribbean","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",25.329
"Caribbean","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",26.203
"Caribbean","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",27.833
"Caribbean","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",11
"Caribbean","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",11.3
"Caribbean","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",11.6
"Caribbean","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",5.62
"Caribbean","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",5.991
"Caribbean","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",6.479
"Anguilla","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",56
"Anguilla","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",57.1
"Anguilla","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",59.6
"Anguilla","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.157
"Anguilla","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.165
"Anguilla","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.179
"Anguilla","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",57.3
"Anguilla","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",58.8
"Anguilla","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",61.7
"Anguilla","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",4.1
"Anguilla","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",4.2
"Anguilla","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",4.5
"Anguilla","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",18.8
"Anguilla","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",19.3
"Anguilla","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",20.2
"Anguilla","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.05
"Anguilla","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.06
"Anguilla","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.06
"Anguilla","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",19.7
"Anguilla","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",20.4
"Anguilla","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",21.5
"Anguilla","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",1.4
"Anguilla","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",1.4
"Anguilla","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",1.5
"Anguilla","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",84.7
"Anguilla","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",89.2
"Anguilla","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",90.2
"Anguilla","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.117
"Anguilla","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.124
"Anguilla","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.135
"Anguilla","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",12.6
"Anguilla","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",12.4
"Anguilla","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",12.5
"Anguilla","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.01
"Anguilla","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.01
"Anguilla","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.01
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",64.4
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",62.8
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",64
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.758
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.769
"Antigua and Barbuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.824
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",59.7
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",57.7
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",58.2
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",16.3
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",16.1
"Antigua and Barbuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",16.5
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",16.8
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",16.4
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",16.8
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.198
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.201
"Antigua and Barbuda","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.217
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",17.1
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",16.7
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",17.2
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",4.6
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",4.6
"Antigua and Barbuda","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",4.8
"Antigua and Barbuda","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",74.3
"Antigua and Barbuda","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",76
"Antigua and Barbuda","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",78.8
"Antigua and Barbuda","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.411
"Antigua and Barbuda","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.417
"Antigua and Barbuda","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.451
"Antigua and Barbuda","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",37.5
"Antigua and Barbuda","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",37.3
"Antigua and Barbuda","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",37.4
"Antigua and Barbuda","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.136
"Antigua and Barbuda","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.14
"Antigua and Barbuda","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.148
"Aruba","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",82.8
"Aruba","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",84.1
"Aruba","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",86.8
"Aruba","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",2.108
"Aruba","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",2.172
"Aruba","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",2.392
"Aruba","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",84.7
"Aruba","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",86.1
"Aruba","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",89.1
"Aruba","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",41.5
"Aruba","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",42.3
"Aruba","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",44.2
"Aruba","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",25.8
"Aruba","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",26.3
"Aruba","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",27.2
"Aruba","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.658
"Aruba","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.681
"Aruba","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.751
"Aruba","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",29.2
"Aruba","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",29.8
"Aruba","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",31
"Aruba","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",14.3
"Aruba","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",14.6
"Aruba","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",15.4
"Aruba","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",44.9
"Aruba","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",60.6
"Aruba","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",63.3
"Aruba","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.414
"Aruba","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.446
"Aruba","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.59
"Aruba","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",29.8
"Aruba","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",30.1
"Aruba","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",30.6
"Aruba","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.225
"Aruba","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.231
"Aruba","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.25
"Bahamas","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",47.2
"Bahamas","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",46
"Bahamas","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",48
"Bahamas","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",3.85
"Bahamas","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",3.898
"Bahamas","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",4.206
"Bahamas","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",55.8
"Bahamas","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",54.5
"Bahamas","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",56.8
"Bahamas","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",103.4
"Bahamas","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",102.5
"Bahamas","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",108.1
"Bahamas","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",21
"Bahamas","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",20.4
"Bahamas","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",21.4
"Bahamas","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.713
"Bahamas","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.729
"Bahamas","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.88
"Bahamas","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",29.2
"Bahamas","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",28.4
"Bahamas","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",29.8
"Bahamas","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",54.1
"Bahamas","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",53.5
"Bahamas","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",56.6
"Bahamas","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",66.1
"Bahamas","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",63.7
"Bahamas","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",66.3
"Bahamas","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",2.415
"Bahamas","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",2.42
"Bahamas","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",2.645
"Bahamas","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",18
"Bahamas","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",18
"Bahamas","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",18.2
"Bahamas","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.469
"Bahamas","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.488
"Bahamas","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.511
"Barbados","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",37.6
"Barbados","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",36.2
"Barbados","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",36.5
"Barbados","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.698
"Barbados","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.698
"Barbados","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.805
"Barbados","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",37
"Barbados","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",35.7
"Barbados","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",36
"Barbados","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",46.4
"Barbados","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",46.4
"Barbados","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",47.4
"Barbados","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",11.4
"Barbados","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",10.8
"Barbados","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",11
"Barbados","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.515
"Barbados","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.51
"Barbados","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.544
"Barbados","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",11.6
"Barbados","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",11.1
"Barbados","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",11.2
"Barbados","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",14.5
"Barbados","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",14.4
"Barbados","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",14.8
"Barbados","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",50.9
"Barbados","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",48.5
"Barbados","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",48.1
"Barbados","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.047
"Barbados","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.03
"Barbados","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.1
"Barbados","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",22.1
"Barbados","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",21.8
"Barbados","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",21.7
"Barbados","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.143
"Barbados","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.151
"Barbados","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.159
"Bermuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",15.7
"Bermuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",14.7
"Bermuda","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",14.9
"Bermuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.877
"Bermuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.858
"Bermuda","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",0.919
"Bermuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",21
"Bermuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",19.5
"Bermuda","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",19.6
"Bermuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",7.8
"Bermuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",7.3
"Bermuda","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",7.5
"Bermuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",5.2
"Bermuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",4.9
"Bermuda","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",4.9
"Bermuda","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",0.293
"Bermuda","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",0.285
